date,value
1-May-20,0.74
2-May-20,0.74
3-May-20,0.75
4-May-20,0.76
5-May-20,0.77
6-May-20,0.77
7-May-20,0.79
8-May-20,0.81
9-May-20,0.82
10-May-20,0.83
11-May-20,0.84
12-May-20,0.85
13-May-20,0.87
14-May-20,0.87
15-May-20,0.87
16-May-20,0.87
17-May-20,0.88
18-May-20,0.89
19-May-20,0.89
20-May-20,0.89
21-May-20,0.92
22-May-20,0.95
23-May-20,1
24-May-20,1.03
25-May-20,1.07
26-May-20,1.09
27-May-20,1.1
28-May-20,1.11
29-May-20,1.12
30-May-20,1.12
31-May-20,1.13
1-Jun-20,1.1
2-Jun-20,1.08
3-Jun-20,1.05
