date,value
1-May-20,3352
2-May-20,3899
3-May-20,4133
4-May-20,4370
5-May-20,4623
6-May-20,4869
7-May-20,5120
8-May-20,5369
9-May-20,5619
10-May-20,5870
11-May-20,6123
12-May-20,6359
13-May-20,6602
14-May-20,6837
15-May-20,7036
16-May-20,7250
17-May-20,7455
18-May-20,7679
19-May-20,7904
20-May-20,8130
21-May-20,8313
22-May-20,8517
23-May-20,8688
24-May-20,8866
25-May-20,9072
26-May-20,9285
27-May-20,9492
28-May-20,9694
29-May-20,9894
30-May-20,10113
31-May-20,10341
1-Jun-20,10569
2-Jun-20,10826
3-Jun-20,11065
